Item1,Item2,Support,Confidence,Lift
"('ONE-11', 'Non-IACS')","('General cargo/multipurpose',)",10.04%,70.03%,1.463
"('ONE-11', 'General cargo/multipurpose')","('Non-IACS',)",10.04%,74.71%,1.567
"('TON>20000', 'YEAR[15~30)')","('IACS',)",10.06%,92.30%,1.764
"('DAY[1~3)', 'Non-IACS')","('FOCs',)",10.19%,64.60%,0.966
"('Cambodia',)","('YEAR[15~30)',)",10.24%,64.69%,1.228
"('Cambodia',)","('FOCs', 'YEAR[15~30)')",10.24%,64.69%,1.810
"('FOCs', 'Cambodia')","('YEAR[15~30)',)",10.24%,64.69%,1.228
"('YEAR[15~30)', 'Cambodia')","('FOCs',)",10.24%,100.00%,1.496
"('ONE-141',)","('14104',)",10.38%,66.97%,6.454
"('14104',)","('ONE-141',)",10.38%,100.00%,6.454
"('14104',)","('ONE-14',)",10.38%,100.00%,5.233
"('ONE-141',)","('ONE-14', '14104')",10.38%,66.97%,6.454
"('14104',)","('ONE-141', 'ONE-14')",10.38%,100.00%,6.454
"('ONE-141', 'ONE-14')","('14104',)",10.38%,66.97%,6.454
"('ONE-141', '14104')","('ONE-14',)",10.38%,100.00%,5.233
"('ONE-14', '14104')","('ONE-141',)",10.38%,100.00%,6.454
"('Non-IACS', 'Non-FOCs')","('General cargo/multipurpose',)",10.39%,63.04%,1.317
"('Non-FOCs', 'General cargo/multipurpose')","('Non-IACS',)",10.39%,69.25%,1.452
"('ONE-03',)","('YEAR[15~30)',)",10.40%,63.13%,1.198
"('YEAR[5~15)', 'TON>20000')","('IACS',)",10.41%,97.98%,1.873
"('ONE-04',)","('FOCs',)",10.46%,68.88%,1.030
"('ONE-07', 'Panama')","('FOCs',)",10.57%,100.00%,1.496
"('Cambodia',)","('Non-IACS', 'TON<2000')",10.57%,66.78%,2.617
"('Non-IACS', 'Cambodia')","('TON<2000',)",10.57%,68.64%,2.341
"('TON<2000', 'Cambodia')","('Non-IACS',)",10.57%,99.12%,2.079
"('DAY[1~3)', 'Bulk carrier')","('IACS',)",10.57%,87.96%,1.681
"('Cambodia',)","('Non-IACS', 'FOCs', 'TON<2000')",10.57%,66.78%,3.693
"('FOCs', 'Cambodia')","('Non-IACS', 'TON<2000')",10.57%,66.78%,2.617
"('Non-IACS', 'Cambodia')","('TON<2000', 'FOCs')",10.57%,68.64%,3.459
"('TON<2000', 'Cambodia')","('Non-IACS', 'FOCs')",10.57%,99.12%,3.176
"('Non-IACS', 'FOCs', 'Cambodia')","('TON<2000',)",10.57%,68.64%,2.341
"('TON<2000', 'FOCs', 'Cambodia')","('Non-IACS',)",10.57%,99.12%,2.079
"('Non-IACS', 'TON<2000', 'Cambodia')","('FOCs',)",10.57%,100.00%,1.496
"('Cambodia',)","('TON<2000',)",10.67%,67.37%,2.297
"('Cambodia',)","('TON<2000', 'FOCs')",10.67%,67.37%,3.395
"('FOCs', 'Cambodia')","('TON<2000',)",10.67%,67.37%,2.297
"('TON<2000', 'Cambodia')","('FOCs',)",10.67%,100.00%,1.496
"('ONE-03',)","('Non-IACS',)",10.76%,65.29%,1.369
"('ONE-01',)","('Non-IACS',)",10.88%,64.68%,1.356
"('ONE-10',)","('Non-IACS',)",10.90%,68.06%,1.427
"('DAY<1',)","('FOCs',)",10.94%,65.99%,0.987
"('11101',)","('ONE-11',)",11.01%,100.00%,3.685
"('ONE-03',)","('FOCs',)",11.05%,67.03%,1.002
"('ONE-01',)","('FOCs',)",11.12%,66.11%,0.989
"('DAY[3~7)',)","('FOCs',)",11.18%,66.76%,0.998
"('DAY[1~3)', 'Panama')","('FOCs',)",11.26%,100.00%,1.496
"('TON[2000~5000)', 'Non-IACS')","('General cargo/multipurpose',)",11.26%,81.41%,1.701
"('TON[2000~5000)', 'General cargo/multipurpose')","('Non-IACS',)",11.26%,70.64%,1.481
"('TON>20000', 'FOCs')","('IACS', 'Bulk carrier')",11.30%,63.03%,3.125
"('TON>20000', 'Bulk carrier')","('IACS', 'FOCs')",11.30%,66.46%,1.864
