Item1,Item2,Support,Confidence,Lift
"('ONE-07', 'Non-IACS')","('General cargo/multipurpose',)",15.12%,73.94%,1.545
"('ONE-07', 'General cargo/multipurpose')","('Non-IACS',)",15.12%,76.02%,1.594
"('Non-IACS', 'General cargo/multipurpose')","('ONE-07',)",15.12%,43.42%,1.115
"('TON<2000',)","('YEAR[15~30)', 'General cargo/multipurpose')",15.39%,52.49%,1.843
"('TON<2000', 'YEAR[15~30)')","('General cargo/multipurpose',)",15.39%,77.85%,1.626
"('TON<2000', 'General cargo/multipurpose')","('YEAR[15~30)',)",15.39%,72.25%,1.371
"('YEAR[15~30)', 'General cargo/multipurpose')","('TON<2000',)",15.39%,54.05%,1.843
"('Cambodia',)","('Non-IACS',)",15.41%,97.29%,2.040
"('Cambodia',)","('Non-IACS', 'FOCs')",15.41%,97.29%,3.117
"('Non-IACS', 'FOCs')","('Cambodia',)",15.41%,49.36%,3.117
"('Non-IACS', 'Cambodia')","('FOCs',)",15.41%,100.00%,1.496
"('FOCs', 'Cambodia')","('Non-IACS',)",15.41%,97.29%,2.040
"('TON<2000',)","('Non-IACS', 'FOCs', 'General cargo/multipurpose')",15.42%,52.60%,2.153
"('TON<2000', 'General cargo/multipurpose')","('Non-IACS', 'FOCs')",15.42%,72.40%,2.320
"('Non-IACS', 'TON<2000')","('FOCs', 'General cargo/multipurpose')",15.42%,60.44%,1.839
"('FOCs', 'TON<2000')","('Non-IACS', 'General cargo/multipurpose')",15.42%,77.72%,2.233
"('Non-IACS', 'General cargo/multipurpose')","('FOCs', 'TON<2000')",15.42%,44.30%,2.233
"('FOCs', 'General cargo/multipurpose')","('Non-IACS', 'TON<2000')",15.42%,46.93%,1.839
"('Non-IACS', 'FOCs')","('TON<2000', 'General cargo/multipurpose')",15.42%,49.42%,2.320
"('Non-IACS', 'TON<2000', 'General cargo/multipurpose')","('FOCs',)",15.42%,78.64%,1.176
"('FOCs', 'TON<2000', 'General cargo/multipurpose')","('Non-IACS',)",15.42%,94.47%,1.981
"('FOCs', 'Non-IACS', 'TON<2000')","('General cargo/multipurpose',)",15.42%,85.31%,1.782
"('Non-IACS', 'FOCs', 'General cargo/multipurpose')","('TON<2000',)",15.42%,63.14%,2.153
"('ONE-141',)","('ONE-14',)",15.50%,100.00%,5.233
"('ONE-14',)","('ONE-141',)",15.50%,81.09%,5.233
"('TON>20000',)","('IACS', 'Bulk carrier')",15.78%,62.26%,3.086
"('Bulk carrier',)","('IACS', 'TON>20000')",15.78%,66.15%,2.783
"('IACS', 'TON>20000')","('Bulk carrier',)",15.78%,66.37%,2.783
"('IACS', 'Bulk carrier')","('TON>20000',)",15.78%,78.22%,3.086
"('TON>20000', 'Bulk carrier')","('IACS',)",15.78%,92.80%,1.774
"('Cambodia',)","('FOCs',)",15.83%,100.00%,1.496
"('TON[2000~5000)',)","('General cargo/multipurpose',)",15.94%,74.44%,1.555
"('IACS', 'FOCs')","('YEAR[15~30)',)",16.07%,45.06%,0.855
"('IACS', 'YEAR[15~30)')","('FOCs',)",16.07%,65.43%,0.979
"('FOCs', 'YEAR[15~30)')","('IACS',)",16.07%,44.95%,0.859
"('TON[5000~20000)',)","('FOCs',)",16.17%,67.59%,1.011
"('TON<2000',)","('FOCs', 'General cargo/multipurpose')",16.33%,55.67%,1.694
"('FOCs', 'TON<2000')","('General cargo/multipurpose',)",16.33%,82.27%,1.719
"('TON<2000', 'General cargo/multipurpose')","('FOCs',)",16.33%,76.63%,1.146
"('FOCs', 'General cargo/multipurpose')","('TON<2000',)",16.33%,49.67%,1.694
"('YEAR[15~30)', 'General cargo/multipurpose')","('Non-IACS', 'FOCs')",16.34%,57.39%,1.839
"('Non-IACS', 'YEAR[15~30)')","('FOCs', 'General cargo/multipurpose')",16.34%,58.09%,1.767
"('FOCs', 'YEAR[15~30)')","('Non-IACS', 'General cargo/multipurpose')",16.34%,45.72%,1.313
"('Non-IACS', 'General cargo/multipurpose')","('FOCs', 'YEAR[15~30)')",16.34%,46.95%,1.313
"('FOCs', 'General cargo/multipurpose')","('Non-IACS', 'YEAR[15~30)')",16.34%,49.73%,1.767
"('Non-IACS', 'FOCs')","('YEAR[15~30)', 'General cargo/multipurpose')",16.34%,52.37%,1.839
"('Non-IACS', 'YEAR[15~30)', 'General cargo/multipurpose')","('FOCs',)",16.34%,76.03%,1.137
"('FOCs', 'YEAR[15~30)', 'General cargo/multipurpose')","('Non-IACS',)",16.34%,79.50%,1.667
"('FOCs', 'Non-IACS', 'YEAR[15~30)')","('General cargo/multipurpose',)",16.34%,83.05%,1.735
"('Non-IACS', 'FOCs', 'General cargo/multipurpose')","('YEAR[15~30)',)",16.34%,66.91%,1.270
"('DAY[1~3)',)","('IACS', 'FOCs')",16.40%,41.20%,1.156
"('IACS', 'DAY[1~3)')","('FOCs',)",16.40%,68.28%,1.021
"('IACS', 'FOCs')","('DAY[1~3)',)",16.40%,45.99%,1.156
"('DAY[1~3)', 'FOCs')","('IACS',)",16.40%,61.66%,1.179
"('Non-FOCs',)","('Non-IACS',)",16.48%,49.73%,1.043
"('Non-FOCs',)","('IACS',)",16.66%,50.27%,0.961
"('ONE-11',)","('FOCs',)",16.91%,62.32%,0.932
"('Non-FOCs',)","('YEAR[15~30)',)",16.95%,51.15%,0.971
"('TON>20000',)","('IACS', 'FOCs')",16.96%,66.93%,1.877
"('IACS', 'TON>20000')","('FOCs',)",16.96%,71.35%,1.067
"('IACS', 'FOCs')","('TON>20000',)",16.96%,47.56%,1.877
"('TON>20000', 'FOCs')","('IACS',)",16.96%,94.62%,1.809
"('TON>20000',)","('Bulk carrier',)",17.00%,67.08%,2.813
"('Bulk carrier',)","('TON>20000',)",17.00%,71.28%,2.813
"('TON[5000~20000)',)","('IACS',)",17.16%,71.73%,1.371
"('DAY[1~3)',)","('General cargo/multipurpose',)",17.27%,43.40%,0.907
"('Bulk carrier',)","('FOCs',)",17.28%,72.46%,1.084
"('TON<2000',)","('Non-IACS', 'YEAR[15~30)')",17.92%,61.11%,2.172
"('Non-IACS', 'YEAR[15~30)')","('TON<2000',)",17.92%,63.69%,2.172
"('Non-IACS', 'TON<2000')","('YEAR[15~30)',)",17.92%,70.22%,1.333
"('TON<2000', 'YEAR[15~30)')","('Non-IACS',)",17.92%,90.63%,1.900
"('TON>20000',)","('FOCs',)",17.92%,70.73%,1.058
"('TON<2000',)","('Non-IACS', 'FOCs')",18.08%,61.66%,1.976
"('Non-IACS', 'FOCs')","('TON<2000',)",18.08%,57.93%,1.976
"('Non-IACS', 'TON<2000')","('FOCs',)",18.08%,70.85%,1.060
"('TON<2000', 'FOCs')","('Non-IACS',)",18.08%,91.11%,1.911
"('Panama',)","('IACS',)",18.10%,69.16%,1.322
"('Panama',)","('IACS', 'FOCs')",18.10%,69.16%,1.940
"('IACS', 'Panama')","('FOCs',)",18.10%,100.00%,1.496
"('IACS', 'FOCs')","('Panama',)",18.10%,50.76%,1.940
"('Panama', 'FOCs')","('IACS',)",18.10%,69.16%,1.322
"('YEAR[5~15)',)","('FOCs',)",18.18%,65.46%,0.979
"('ONE-07',)","('IACS',)",18.50%,47.51%,0.908
"('Non-IACS',)","('TON<2000', 'General cargo/multipurpose')",19.61%,41.13%,1.930
"('TON<2000',)","('Non-IACS', 'General cargo/multipurpose')",19.61%,66.88%,1.921
"('General cargo/multipurpose',)","('Non-IACS', 'TON<2000')",19.61%,40.97%,1.606
"('Non-IACS', 'TON<2000')","('General cargo/multipurpose',)",19.61%,76.85%,1.606
"('Non-IACS', 'General cargo/multipurpose')","('TON<2000',)",19.61%,56.34%,1.921
"('TON<2000', 'General cargo/multipurpose')","('Non-IACS',)",19.61%,92.06%,1.930
"('Non-IACS',)","('FOCs', 'YEAR[15~30)')",19.68%,41.27%,1.154
"('Non-IACS', 'FOCs')","('YEAR[15~30)',)",19.68%,63.06%,1.197
"('FOCs', 'YEAR[15~30)')","('Non-IACS',)",19.68%,55.05%,1.154
